iter	Passed	Remaining
399	54345	81518
400	54482	81383
401	54620	81251
402	54807	81190
403	54952	81069
404	55121	80981
405	55289	80891
406	55527	80903
407	55775	80929
408	56026	80958
409	56270	80975
410	56511	80986
411	56676	80888
412	56824	80765
413	56943	80601
414	57089	80475
415	57221	80329
416	57367	80204
417	57579	80170
418	57730	80050
419	57960	80040
420	58178	80012
421	58403	79993
422	58556	79874
423	58727	79781
424	58924	79721
425	59048	79562
426	59172	79405
427	59308	79262
428	59559	79273
429	59801	79271
430	59980	79185
431	60172	79115
432	60332	79003
433	60470	78862
434	60655	78782
435	60849	78713
436	60985	78570
437	61113	78414
438	61236	78254
439	61388	78130
440	61604	78088
441	61728	77929
442	61897	77826
443	62110	77777
444	62229	77611
445	62362	77463
446	62493	77313
447	62656	77202
448	62924	77218
449	63048	77059
450	63198	76931
451	63338	76791
452	63563	76752
453	63708	76618
454	63833	76459
455	63998	76348
456	64216	76300
457	64333	76133
458	64470	75988
459	64598	75832
460	64734	75686
461	64876	75548
462	65023	75416
463	65187	75302
464	65354	75193
465	65476	75031
466	65603	74875
467	65733	74722
468	65868	74576
469	66008	74434
470	66169	74317
471	66298	74164
472	66419	74002
473	66534	73833
474	66675	73693
475	66793	73529
476	66965	73423
477	67152	73333
478	67298	73198
479	67434	73054
480	67609	72951
481	67800	72864
482	67930	72712
483	68124	72628
484	68282	72506
485	68411	72353
486	68555	72215
487	68691	72069
488	68941	72042
489	69052	71870
490	69181	71718
491	69302	71555
492	69441	71413
493	69607	71298
494	69737	71145
495	69873	71000
496	70032	70878
497	70170	70733
498	70332	70614
499	70497	70497
500	70612	70330
501	70741	70178
502	70875	70030
503	71002	69875
504	71135	69726
505	71273	69583
506	71437	69464
507	71582	69328
508	71750	69212
509	71908	69088
510	72059	68956
511	72228	68842
512	72373	68705
513	72523	68572
514	72656	68423
515	72775	68262
516	72937	68140
517	73082	68003
518	73209	67848
519	73365	67722
520	73516	67589
521	73635	67428
522	73760	67272
523	73900	67131
524	74059	67005
525	74210	66874
526	74339	66722
527	74467	66569
528	74612	66432
529	74781	66315
530	74908	66162
531	75026	66000
532	75153	65847
533	75289	65702
534	75409	65543
535	75529	65383
536	75668	65241
537	75867	65150
538	76029	65027
539	76156	64873
540	76320	64752
541	76459	64609
542	76584	64455
543	76707	64298
544	76819	64133
545	76951	63985
546	77064	63821
547	77194	63671
548	77328	63525
549	77448	63367
550	77578	63217
551	77704	63064
552	77838	62918
553	77974	62773
554	78106	62626
555	78232	62473
556	78370	62330
557	78505	62185
558	78635	62036
559	78773	61893
560	78896	61739
561	79053	61611
562	79205	61478
563	79353	61343
564	79529	61230
565	79677	61095
566	79807	60946
567	79948	60806
568	80064	60646
569	80185	60490
570	80315	60341
571	80453	60199
572	80588	60054
573	80725	59911
574	80844	59754
575	80972	59604
576	81111	59462
577	81226	59303
578	81335	59140
579	81458	58986
580	81588	58839
581	81741	58707
582	81886	58570
583	82018	58424
584	82172	58293
585	82315	58154
586	82467	58022
587	82625	57893
588	82786	57767
589	82947	57641
590	83080	57495
591	83204	57343
592	83336	57196
593	83461	57046
594	83597	56902
595	83727	56754
596	83856	56606
597	83965	56445
598	84096	56298
599	84211	56141
600	84352	56000
601	84485	55855
602	84616	55709
